"stateabb","ccode","year","milex","milper","irst","pec","tpop","upop","cinc","democ","autoc","polity","polity2","democracy","cgdppc","ln.gdp","gdp","atwar","initiator","civilwar.part","lsthreat","ww1","ww2","cold.war","majpower","super.power","status","mid.pres","disputes","ln.milex","lag.ln.milex","lag.milex","change.milex","change.ln.milex","growth.milex","lag.ln.gdp","lag.gdp","change.gdp","gdp.growth","total.rivals","rival.milex","avg.rival.milex"
"USA",2,1816,3823,17,80,254,"8659","101",0.0396975,9,0,9,9,1,2092,NA,NA,0,0,0,0.63919497,0,0,0,0,0,0,1,2,8.24905227417129,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,18.5191655067045,9.25958275335226
"USA",2,1817,2466,15,80,277,"8899","106",0.0358166,9,0,9,9,1,2091,NA,NA,0,0,0,0.63151896,0,0,0,0,0,0,0,0,7.81075811652936,8.24905227417129,3823,-1357,-0.438294157641936,-0.354956840177871,NA,NA,NA,NA,2,18.1420595772295,9.07102978861475
"USA",2,1818,1910,14,90,302,"9139","112",0.0361265,9,0,9,9,1,2097,NA,NA,0,0,0,0.62731898,0,0,0,0,0,0,1,2,7.55538194424027,7.81075811652936,2466,-556,-0.255376172289083,-0.225466342254663,NA,NA,NA,NA,2,18.0699492455547,9.03497462277734
"USA",2,1819,2301,13,90,293,"9379","118",0.0371333,9,0,9,9,1,2092,NA,NA,0,0,0,0.61502004,0,0,0,0,0,0,0,0,7.74153358928183,7.55538194424027,1910,391,0.186151645041555,0.204712041884817,NA,NA,NA,NA,2,17.8533387707672,8.92666938538359
"USA",2,1820,1556,15,110,303,"9618","124",0.0370869,9,0,9,9,1,2080,23.7563170163641,20760480000,0,0,0,0.62298501,0,0,0,0,0,0,0,0,7.350516171834,7.74153358928183,2301,-745,-0.39101741744783,-0.323772272924815,NA,NA,NA,NA,1,9.37152340956757,9.37152340956757
"USA",2,1821,1612,11,100,321,"9939","130",0.0341731,9,0,9,9,1,2113,23.803421378724,21761787000,0,0,0,0.63975,0,0,0,0,0,0,0,0,7.38585107812521,7.350516171834,1556,56,0.0353349062912107,0.0359897172236504,23.7563170163641,20760480000,1001307000,0.0482313992740052,1,9.23268877563994,9.23268877563994
"USA",2,1822,1079,10,100,332,"10268","136",0.0329391,9,0,9,9,1,2171,23.8617575558713,23069046000,0,0,0,0.63262999,0,0,0,0,0,0,0,0,6.98471632011827,7.38585107812521,1612,-533,-0.401134758006943,-0.330645161290323,23.803421378724,21761787000,1307259000,0.0600713075631151,1,9.14163317396639,9.14163317396639
"USA",2,1823,1170,11,110,345,"10596","143",0.0331075,9,0,9,9,1,2147,23.8807681321367,23511797000,0,0,0,0.45993701,0,0,0,0,0,0,0,0,7.06561336359772,6.98471632011827,1079,91,0.0808970434794514,0.0843373493975904,23.8617575558713,23069046000,442751000,0.0191924278099753,1,9.18850367736701,9.18850367736701
"USA",2,1824,1261,11,110,390,"10924","151",0.0329776,9,0,9,9,1,2205,23.9367585990954,24865785000,0,0,0,0.46846098,0,0,0,0,0,0,0,0,7.14045304310116,7.06561336359772,1170,91,0.0748396795034409,0.0777777777777778,23.8807681321367,23511797000,1353988000,0.0575876016622634,1,9.24831030322781,9.24831030322781
"USA",2,1825,1336,11,120,424,"11252","158",0.034215,9,0,9,9,1,2254,23.9871497496079,26150908000,0,0,0,0.46811801,0,0,0,0,0,0,0,0,7.19818357710194,7.14045304310116,1261,75,0.0577305340007852,0.0594766058683584,23.9367585990954,24865785000,1285123000,0.0516823820361995,1,9.26568046700935,9.26568046700935
"USA",2,1826,1658,12,120,502,"11580","166",0.0364252,9,0,9,9,1,2270,24.0219342459022,27076560000,0,0,0,0.47016701,0,0,0,0,0,0,0,0,7.41397029019044,7.19818357710194,1336,322,0.215786713088501,0.241017964071856,23.9871497496079,26150908000,925652000,0.0353965529609909,1,9.34801317710126,9.34801317710126
"USA",2,1827,1663,12,130,556,"11909","175",0.0357089,9,0,9,9,1,2279,24.052610153522,27920029000,0,0,0,0.76309103,0,0,0,0,0,0,0,0,7.41697962138115,7.41397029019044,1658,5,0.00300933119071001,0.00301568154402895,24.0219342459022,27076560000,843469000,0.0311512614600969,1,9.30036387462377,9.30036387462377
"USA",2,1828,1622,11,130,609,"12237","183",0.0356879,9,0,9,9,1,2279,24.079190326579,28672099000,0,0,0,0.75911599,0,0,0,0,0,0,0,0,7.39203156751459,7.41697962138115,1663,-41,-0.024948053866563,-0.0246542393265183,24.052610153522,27920029000,752070000,0.0269365766059913,1,9.15482766204592,9.15482766204592
"USA",2,1829,1678,12,144,686,"12565","193",0.0374823,9,0,9,9,1,2204,24.0712320477507,28444824000,0,0,0,0.75769299,0,0,0,0,0,0,0,0,7.42595365707754,7.39203156751459,1622,56,0.0339220895629495,0.0345252774352651,24.079190326579,28672099000,-227275000,-0.00792669556560892,1,9.16534300604545,9.16534300604545
"USA",2,1830,1687,12,168,799,"12901","203",0.0384837,9,0,9,9,1,2364,24.1668634869991,31299360000,0,0,0,0.43045899,0,0,0,0,0,0,0,0,7.4312996751559,7.42595365707754,1678,9,0.00534601807836221,0.00536352800953516,24.0712320477507,28444824000,2854536000,0.100353442158756,2,18.4898387164761,9.24491935823803
"USA",2,1831,1835,11,194,864,"13321","222",0.0420014,9,0,9,9,1,2509,24.2575487493515,34270431000,0,0,0,0.43081897,0,0,0,0,0,0,0,0,7.51534457118044,7.4312996751559,1687,148,0.0840448960245332,0.0877296976882039,24.1668634869991,31299360000,2971071000,0.0949243371110464,3,18.9020581953571,6.30068606511903
"USA",2,1832,1896,12,203,1154,"13742","244",0.0445447,9,0,9,9,1,2600,24.3233905771598,36602800000,0,0,0,0.57448101,0,0,0,0,0,0,0,0,7.54802896993501,7.51534457118044,1835,61,0.0326843987545784,0.0332425068119891,24.2575487493515,34270431000,2332369000,0.0680577667669251,3,18.8115423176282,6.27051410587606
"USA",2,1833,2445,13,220,1348,"14162","268",0.0481381,9,0,9,9,1,2691,24.3870514579918,39008736000,0,0,0,0.73142201,0,0,0,0,0,0,0,0,7.80220931624712,7.54802896993501,1896,549,0.254180346312103,0.289556962025316,24.3233905771598,36602800000,2405936000,0.0657309276885921,3,18.5652643477607,6.18842144925355
"USA",2,1834,2073,13,240,1291,"14582","295",0.0477735,9,0,9,9,1,2562,24.3664214583877,38212230000,0,0,0,0.73245102,0,0,0,0,0,0,1,2,7.63723438878947,7.80220931624712,2445,-372,-0.164974927457645,-0.152147239263804,24.3870514579918,39008736000,-796506000,-0.020418656990065,3,18.4107903953002,6.13693013176674
"USA",2,1835,2001,14,260,1650,"15003","324",0.04852,9,0,9,9,1,2660,24.4316645448767,40788440000,0,0,0,0.72656101,0,0,0,0,0,0,1,4,7.60190195987517,7.63723438878947,2073,-72,-0.0353324289143071,-0.0347322720694645,24.3664214583877,38212230000,2576210000,0.0674184678570185,3,18.2524745194673,6.08415817315577
"USA",2,1836,2571,17,280,1807,"15423","356",0.050953,9,0,9,9,1,2699,24.4731779943061,42517347000,0,0,0,0.73037601,0,0,0,0,0,0,1,8,7.85243908535751,7.60190195987517,2001,570,0.250537125482344,0.284857571214393,24.4316645448767,40788440000,1728907000,0.0423871812699873,3,18.2754084444069,6.09180281480229
"USA",2,1837,3121,22,290,2027,"15843","391",0.0535364,9,0,9,9,1,2614,24.4673669667442,42270994000,0,0,0,0.71651298,0,0,0,0,0,0,1,4,8.04622910107538,7.85243908535751,2571,550,0.193790015717868,0.213924542979385,24.4731779943061,42517347000,-246353000,-0.0057941761982468,3,18.4037483262609,6.13458277542031
"USA",2,1838,3083,18,310,1922,"16264","429",0.0532727,9,0,9,9,1,2591,24.4841701181876,42987281000,0,0,0,0.717049,0,0,0,0,0,0,1,2,8.03398273468322,8.04622910107538,3121,-38,-0.0122463663921568,-0.0121755847484781,24.4673669667442,42270994000,716287000,0.0169451184422112,3,18.4427398822351,6.14757996074504
"USA",2,1839,2012,19,330,2159,"16684","471",0.0508006,9,0,9,9,1,2717,24.5565367831226,46213453000,0,0,0,0.71162802,0,0,0,0,0,0,1,2,7.60738142563979,8.03398273468322,3083,-1071,-0.42660130904343,-0.347388906908855,24.4841701181876,42987281000,3226172000,0.0750494547445325,3,18.6325181894457,6.21083939648191
"USA",2,1840,2755,22,291,2244,"17120","518",0.04955,9,0,9,9,1,2583,24.5312131010406,45057852000,0,0,0,0.57277995,0,0,0,0,0,0,0,0,7.92153563213355,7.60738142563979,2012,743,0.314154206493758,0.369284294234592,24.5565367831226,46213453000,-1155601000,-0.0250057272283895,3,19.0341570039674,6.34471900132246
"USA",2,1841,3042,21,290,2374,"17733","562",0.0508649,9,0,9,9,1,2529,24.5445678441495,45663624000,0,0,0,0.57389098,0,0,0,0,0,0,0,0,8.02059914989697,7.92153563213355,2755,287,0.0990635177634207,0.104174228675136,24.5312131010406,45057852000,605772000,0.0134443159873666,3,19.192694912067,6.39756497068899
"USA",2,1842,3011,23,219,2643,"18345","610",0.0493011,9,0,9,9,1,2507,24.569109915173,46798169000,0,0,0,0.57515198,0,0,0,0,0,0,1,2,8.01035958891978,8.02059914989697,3042,-31,-0.0102395609771868,-0.0101906640368179,24.5445678441495,45663624000,1134545000,0.0248457065080949,3,19.2047532503348,6.40158441677827
"USA",2,1843,1364,21,320,2967,"18957","662",0.0510815,9,0,9,9,1,2547,24.6171984535611,49103613000,0,0,0,0.135627,0,0,0,0,0,0,1,2,7.21890970761906,8.01035958891978,3011,-1647,-0.791449881300723,-0.546994354035204,24.569109915173,46798169000,2305444000,0.0492635513154372,3,19.0757019071609,6.35856730238696
"USA",2,1844,2432,21,400,3557,"19569","718",0.0573262,9,0,9,9,1,2685,24.7011636577731,53404650000,0,0,0,0.57627797,0,0,0,0,0,0,1,2,7.79688034278352,7.21890970761906,1364,1068,0.577970635164462,0.782991202346041,24.6171984535611,49103613000,4301037000,0.0875910495628906,3,26.3865528030786,8.79551760102621
"USA",2,1845,3534,21,490,4284,"20182","779",0.0616531,10,0,10,10,1,2728,24.7474057938285,55932184000,0,0,0,0.58273202,0,0,0,0,0,0,1,2,8.17046857833067,7.79688034278352,2432,1102,0.373588235547151,0.453125,24.7011636577731,53404650000,2527534000,0.0473279761219295,3,19.1709678937377,6.3903226312459
"USA",2,1846,9506,39,777,4863,"20794","846",0.0827573,10,0,10,10,1,2743,24.7822543764694,57915702000,1,1,0,0.55238098,0,0,0,0,0,0,1,4,9.15978364835903,8.17046857833067,3534,5972,0.989315070028356,1.68986983588002,24.7474057938285,55932184000,1983518000,0.0354629098695663,3,27.9243685446305,9.30812284821017
"USA",2,1847,7431,58,813,5767,"21406","918",0.0845096,10,0,10,10,1,2816,24.8370929752538,61180416000,1,1,0,0.56612802,0,0,0,0,0,0,1,2,8.91355028049368,9.15978364835903,9506,-2075,-0.246233367865354,-0.218283189564486,24.7822543764694,57915702000,3264714000,0.0563701014968272,3,19.5312317483618,6.51041058278728
"USA",2,1848,8106,60,813,6424,"22018","996",0.0871742,10,0,10,10,1,2888,24.8900745543284,64509256000,0,0,0,0.12457,0,0,0,0,0,0,1,2,9.00048316498771,8.91355028049368,7431,675,0.0869328844940327,0.0908356883326605,24.8370929752538,61180416000,3328840000,0.0544102217284695,3,19.6171501238663,6.53905004128877
"USA",2,1849,3558,23,660,6976,"22631","1081",0.0730965,10,0,10,10,1,2814,24.8911907321452,64581300000,0,0,0,0.13805899,0,0,0,0,0,0,0,0,8.17723488551019,9.00048316498771,8106,-4548,-0.823248279477514,-0.561065877128053,24.8900745543284,64509256000,72044000,0.00111680097504147,2,19.263342416668,9.63167120833398
"USA",2,1850,4302,21,572,7607,"23261","1174",0.0724712,9,0,9,9,1,2825,24.922173096654,66613500000,0,0,0,0.13274899,0,0,0,0,0,0,1,4,8.3670677328386,8.17723488551019,3558,744,0.189832847328406,0.209106239460371,24.8911907321452,64581300000,2032200000,0.0314673132934766,2,19.0908165469789,9.54540827348947
"USA",2,1851,3525,21,420,9438,"24086","1273",0.0677073,9,0,9,9,1,2940,24.9964634476361,71750700000,0,0,0,0.14173299,0,0,0,0,0,0,1,2,8.16791936295782,8.3670677328386,4302,-777,-0.199148369880783,-0.180613668061367,24.922173096654,66613500000,5137200000,0.0771195028034858,2,19.016858978716,9.50842948935802
